name;address;rate;comments;type;lat;lon;errors
Carrefour Express;Carrer d'Escuder, 10, 08003 Barcelona;3.8;177;Supermercado;41.3795375;2.1867045;
DIA;Carrer de la Comtessa de Sobradiel, 3, 08002 Barcelona;3.6;235;Supermercado;41.380854;2.1759213;
Condis Express Supermercats;Carrer de Ginebra, 33, 08003 Barcelona;3.5;136;Supermercado;41.3820194;2.1876639;
Barcelona Tech City;Plaça de Pau Vila, 1 Bloc A, Planta 3, Porta 3A1, 08003 Barcelona;4.5;209;Organización sin ánimo de lucro;41.381005;2.1832574;
Simply Basic;Carrer de Ferran, 46, 08002 Barcelona;2.7;20;Supermercado;41.3823178;2.1745682;
DIA;Carrer d'Andrea Dòria, 22, 08003 Barcelona;3.4;18;Supermercado;41.3803818;2.1885959;
Supermercat;Carrer de la Fusteria, 2, 08002 Barcelona;4.1;122;Supermercado;41.3813397;2.1785931;
DIA;Carrer de Balboa, 15, 08003 Barcelona;3.5;156;Supermercado;41.3843956;2.1806943;
bonÀrea;Carrer d'Escuder, 15, 17, 08003 Barcelona;4.1;170;Supermercado;41.3797128;2.1866327;
Alcampo Supermercado;Añadir número de teléfono;3.8;238;Supermercado;41.378516;2.176362;
Caprabo;Mercat Municipal de Plaça de la Font, 1, 08003 Barcelona;3.6;184;Supermercado;41.3805706;2.186687;
Miquel Alimentació Grup S.A.;Añadir horario;3.0;4;Supermercado;41.3785924;2.1880319;
Condis Express Supermercats;La Rambla, 14, 08002 Barcelona;2.3;3;Supermercado;41.3778646;2.1741822;
Supermarket;Carrer d'en Rauric, 17, 08002 Barcelona;4.8;8;Supermercado de descuentos;41.380854;2.1733623;
Supermercat Maquinista;Añadir sitio web;4.1;18;Supermercado;41.3806365;2.1858958;
Supermercat SPAR;CALLE BALUARD, 30Carrer, de Sant Miquel, 35, 08028 Barcelona;4.0;292;Supermercado;41.3801419;2.1861318;
Superservis;Carrer d'Avinyó, 11, 13, 08002 Barcelona;3.9;199;Supermercado;41.3812442;2.1744184;
Colom Supermercat;Añadir sitio web;1.0;1;Supermercado;41.3791546;2.1790038;
Mi Alcampo;Via Laietana, 4, 08003 Barcelona;2.3;3;Supermercado;41.3822625;2.1789901;
Supermercat;Añadir sitio web;1.0;2;Supermercado;41.4016382;2.1487334;
Premmia Mercat;Añadir número de teléfono;3.0;17;Supermercado;41.3774589;2.1880737;
Bon Pacub S.L.;Añadir horario;3.0;1;Supermercado;41.3787072;2.1860183;
Super;Añadir número de teléfono;3.6;10;Tienda de ultramarinos;41.374385;2.1860886;
Spar Supermarcat;Añadir número de teléfono;1.0;1;Tienda de ultramarinos;41.376803;2.1883652;
Bar Can Sardi;C/ de Pepe Rubianes, 25, 08003 Barcelona;4.8;294;Restaurante;41.3784216;2.1892449;
Amarre 69;Passeig de Joan de Borbó, 69, 08003 Barcelona;4.2;606;Bar de tapas;41.3759228;2.187059;
Dc Shoes;Añadir horario;4.5;2;Zapatería;41.3756515;2.1878613;
Farmàcia Ramón Torelló;Passeig de Joan de Borbó, 72, 08003 Barcelona;3.2;10;Farmacia;41.3757034;2.1871556;
Boardriders Quiksilver Billabong Roxy Element DC Shoes RVCA;Carrer de la Drassana, 10, 08003 Barcelona;4.1;149;Tienda de ropa;41.3755297;2.1878763;
DetailCar Joan De Borbó;Passeig de Joan de Borbó, s/n, 08039 Barcelona;2.5;4;Servicio de lavado de coches;41.374729;2.1864833;
Carrefour Market;Rambla dels Estudis, 113, 08002 Barcelona;4.1;8051;Supermercado;41.3839744;2.168562;
Supermercados Charter;Carrer de Jerusalem, 4, 08001 Barcelona;3.9;9;Supermercado;41.3811185;2.1694632;
DIA;Carrer Nou de la Rambla, 18, 08001 Barcelona;3.1;98;Supermercado;41.3787;2.1650353;
Spar;Carrer de la Canuda, 26, 08002 Barcelona;4.0;164;Supermercado;41.3848799;2.1710065;
Coaliment;Añadir número de teléfono;3.8;32;Supermercado;41.3837621;2.1818161;
Simply Basic;Carrer de la Unió, 9, 08001 Barcelona;4.0;65;Supermercado;41.3794302;2.1713193;
Condis Supermercats;Carrer de la Junta de Comerç, 19, 08001 Barcelona;4.0;88;Supermercado;41.379662;2.1696425;
Simply Basic Bomarket;Añadir número de teléfono;3.3;12;Supermercado;41.3854416;2.1805683;
Supermercat Boqueria;Añadir número de teléfono;3.7;3;Supermercado;41.381452;2.1713863;
Caprabo;Robrador, Carrer de Sant Rafael, 08001 Barcelona;2.8;16;Supermercado;41.3789535;2.1682636;
Aldi;Carrer del Comerç, 60, 08003 Barcelona;4.2;704;Supermercado de descuentos;41.3848461;2.1819574;
Veritas;Via Laietana, 28, 08003 Barcelona;4.0;646;Supermercado;41.3847278;2.1758161;
Carrefour Express;Carrer Nou de la Rambla, 60, 08001 Barcelona;3.6;488;Supermercado;41.3772231;2.1699941;
Nonstop 24h;Añadir sitio web;2.5;8;Supermercado;41.3807906;2.1724794;
Easxy Unión S.L.;Añadir horario;3.0;3;Supermercado;41.3830954;2.1750728;
Supermarket;Añadir sitio web;;;Supermercado;41.3828384;2.1764871;
Supermercado Italiano Tienda Italiana;Carrer de la Fusteria, 10, 08002 Barcelona;4.6;75;Supermercado italiano;41.3810367;2.1790486;
Colmado AfroLatino;Añadir sitio web;4.3;290;Tienda de ultramarinos;41.3826803;2.1779176;
Afrika & Latina Supermercat;Via Laietana, 15, 08003 Barcelona;4.0;4;Supermercado;41.3832656;2.1772425;
La tienda de dulce. Bombones;Añadir número de teléfono;;;Supermercado;41.3814405;2.1733753;
Sign Tronic S A;Añadir sitio web;;;Supermercado;41.3804268;2.1764341;
África & Latina;Añadir número de teléfono;3.7;3;Supermercado;41.383183;2.1772371;
Super Fresc;Añadir sitio web;4.1;12;Centro comercial;41.38144;2.1752366;
Tienda Rusa Troika;Añadir número de teléfono;4.3;331;Tienda de delicatessen;41.379887;2.1716653;
Kamal bhai shop home;Añadir número de teléfono;;;Tienda de ultramarinos;41.3804698;2.1738672;
Kosher store;Añadir número de teléfono;5.0;1;Tienda de ultramarinos;41.383122;2.1735659;
La Bordiny;Añadir sitio web;4.3;14;Tienda de ultramarinos;41.3832868;2.1755739;
DIA;Carrer de Sant Pau, 116, 08001 Barcelona;3.5;198;Supermercado;41.376467;2.1668491;
DIA;Carrer de l'Hospital, 131, 08001 Barcelona;2.8;89;Supermercado;41.3795717;2.1653995;
DIA;Carrer del Carme, 36, 08001 Barcelona;3.3;170;Supermercado;41.382194;2.1677613;
Condis Express Supermercats;Carrer de les Carretes, 16, 08001 Barcelona;3.5;56;Supermercado;41.3782301;2.1639386;
DIA;Ronda de Sant Pau, 38, 08001 Barcelona;3.4;64;Supermercado;41.376467;2.1668491;
Supermercado Consum Barcelona Ronda Sant Pau;Ronda de Sant Pau, 29, 08015 Barcelona;4.0;194;Supermercado;41.3764248;2.165294;
Supermercat coviran;Carrer de l'Arc del Teatre, 67, 08001 Barcelona;3.7;19;Supermercado de descuentos;41.375307;2.1708303;
DIA;Ronda de Sant Pau, 38, 08001 Barcelona;3.4;64;Supermercado;41.375315;2.1708303;
Supermercados Charter;Carrer de Salvà, 6, 08004 Barcelona;3.8;46;Supermercado;41.374558;2.1643067;
Coviran;Carrer de Sant Ramon, 08001 Barcelona;4.8;4;Tienda de ultramarinos;41.3745778;2.1577406;
Saddeva S.C.P.;Añadir número de teléfono;2.0;2;Supermercado;41.3776553;2.1733897;
Mercados Dias;Añadir número de teléfono;;;Tienda de ultramarinos;41.3786776;2.17157;
唐山行;Añadir número de teléfono;;;超市;41.3778225;2.1706643;
Supermarket patwary 2015 s.l;Carrer d'En Robador, 4, 08001 Barcelona;;;Supermercado;41.3800184;2.1680944;
Colmado la Monserratina;Añadir horario;4.0;1;Supermercado;41.377172;2.1727255;
23 Robadors;Añadir número de teléfono;4.4;817;Sala de conciertos;41.3794735;2.1686439;
china fruit shop;Carrer Nou de la Rambla, 9, 08001 Barcelona;3.6;10;Supermercado;41.3786542;2.1718214;
Muneb Traders International;Añadir sitio web;3.3;3;Supermercado;41.3790168;2.1734018;
Pajeet Store 8;Añadir número de teléfono;;;Tienda de ultramarinos;41.3776383;2.1734442;
Danish Alimenció;Añadir número de teléfono;3.0;2;Tienda de ultramarinos;41.3797553;2.1742703;
Abbul Rashid;Añadir horario;4.0;1;Tienda de ultramarinos;41.3766044;2.1671557;
J K Asian Food S L;Carrer de Sant Pau, 25, 08001 Barcelona;4.2;275;Tienda de alimentación;41.3792706;2.1701161;
Ramón Viure Espinasa;Añadir horario;;;Tienda de ultramarinos;41.3791573;2.1709195;
Torres - Vins i Licors - Wines & Spirits - www.vinosencasa.com;Carrer Nou de la Rambla, 25, 08001 Barcelona;5.0;1;Tienda de licores del estado;41.3780802;2.1711094;
Torres: Vinos y Licores / Wines & Spirits www.vinosencasa.com;Carrer Nou de la Rambla, 25, 08001 Barcelona;4.4;106;Tienda de vinos;41.378144;2.1711773;
Cerámica Mariano Leal;Añadir sitio web;5.0;5;Tienda de cerámica;41.3786151;2.1714224;
Centre de Perruqueria i estètica Pels Pèls;Añadir sitio web;4.1;60;Peluquería;41.3777766;2.1707897;
Aspasios Las Ramblas Apartments;Carrer Nou de la Rambla, 15, 08001 Barcelona;4.5;100;;41.378443;2.1714843;
MH Apartments Ramblas;Carrer Nou de la Rambla, 20, 08001 Barcelona;3.7;37;;41.3786569;2.1715519;
