name;address;rate;comments;type;lat;lon;errors
Lola Floristeria;Añadir sitio web;3.8;8;;41.379776;2.1868277;
Floristeria Rosistirem;C/ de Rull, 3, 08002 Barcelona;5.0;570;;41.3796607;2.175454;
Floristeria Montserrat;Añadir número de teléfono;;;;41.3791389;2.1768654;
Cactus;Añadir horario;1.0;1;;41.3830954;2.1750728;
Mumka;Carrer de Ferran, 43, 45, 08002 Barcelona;4.3;10;;41.3819934;2.173869;
Parfois;Edificio Maremagnum, Moll d'Espanya, 5, 08039 Barcelona;4.1;19;;41.3753016;2.1808057;
MRW;Carrer de Cervantes, 6, 08002 Barcelona;2.8;64;;41.3813111;2.1753672;
STUDIO ROMAN IZQUIERDO BOULDSTRIDGE;Passeig d'Isabel II, 6, 08003 Barcelona;;;;41.3815786;2.1805847;
Maremagnum Barcelona;Moll d'Espanya, 5, 08039 Barcelona;4.2;34081;;41.375186;2.1806783;
Kaprichos;Añadir sitio web;3.5;4;;41.3783488;2.186961;
BOXBARCELONA;Carrer de Pontevedra, 51, 08003 Barcelona;4.2;49;;41.3771596;2.1885613;
Estanco Bové - 57 BCN;Añadir sitio web;3.9;18;;41.3781035;2.186697;
Amarre 69;Passeig de Joan de Borbó, 69, 08003 Barcelona;4.2;603;;41.3759228;2.187059;
Barna Electrónic;Añadir sitio web;4.0;3;;41.3783908;2.1871647;
Premmia Mercat;Añadir número de teléfono;3.0;17;;41.3774589;2.1880737;
Oysho;MAREMAGNUM, Moll d'Espanya, 5, 08039 Barcelona;4.0;73;;41.3752089;2.1811753;
Kurz&Gut;Añadir horario;4.4;96;;41.3763451;2.1870179;
Farmàcia Ramón Torelló;Passeig de Joan de Borbó, 72, 08003 Barcelona;3.2;10;;41.3757034;2.1871556;
Boardriders Quiksilver Billabong Roxy Element DC Shoes RVCA;Carrer de la Drassana, 10, 08003 Barcelona;4.1;150;;41.3755297;2.1878763;
Forn de Pa Montserrat;Añadir sitio web;3.5;13;;41.3765147;2.1874921;
Kanna Flors;Añadir sitio web;4.3;24;;41.3853549;2.1769155;
Carolina;Añadir horario;5.0;10;;41.382186;2.1699282;
La Florería;Carrer de la Pescateria, 2, 08003 Barcelona;4.5;8;;41.3841559;2.1814949;
Botanicum Atelier Floral;Carrer dels Banys Vells, 7, 08003 Barcelona;4.8;30;;41.3845577;2.1784518;
La Flor de la Rambla;La Rambla, 65, 08002 Barcelona;4.4;31;;41.382594;2.1700704;
Mandaflor - La Botella De Nur;Carrer dels Banys Nous, 10, 08002 Barcelona;5.0;6;;41.3822783;2.1728593;
Herbs Floristería;Añadir número de teléfono;5.0;2;;41.3853366;2.1804959;
Arte Japones Ramblaflor;Añadir sitio web;5.0;1;;41.382616;2.1698703;
María Ángeles Santaella Cuenca;Añadir horario;;;;41.3851505;2.1711396;
Flors Maria;Añadir número de teléfono;;;Floristería;41.3824313;2.1700453;
Flors Laura;Plaça Nova, 5, 08002 Barcelona;;;;41.3844691;2.1728079;
Flors Ana;C/ de Joaquim Rubió i Ors, 206, 08940 Cornellà de Llobregat, Barcelona;4.5;37;Floristería;41.3675639;2.1044699;
La Femme Floral;Carrer de l'Esparteria, 6, 08003 Barcelona;5.0;7;;41.3839583;2.180793;
BARCELONA FLOWER STUDIO;La Rambla, 89, 08002 Barcelona;5.0;42;;41.3819515;2.1701527;
